PRUID,Name,NameFR,Date,Confirmed_Cases,Probable_Cases,Deaths,Total_Cases,Cases_Today,Percent_Today,ObjectId,Deaths_Today,Current_Day,Number_Recovered,Number_Tested,RecoveredToday,TestedToday,Precent_Recovered,Percent_Death,Percent_Active
99,Repatriated travellers,Voyageurs rapatriés,2020/03/14 12:00:00+00,2,0,0,2,0,0,104,0,0,0,29,0,0,,0,100
62,Nunavut,Nunavut,2020/03/14 12:00:00+00,0,0,0,0,0,0,105,0,0,0,6,0,5,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020/03/14 12:00:00+00,0,0,0,0,0,0,106,0,0,0,76,0,42,,,
60,Yukon,Yukon,2020/03/14 12:00:00+00,0,0,0,0,0,0,107,0,0,0,0,0,0,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020/03/14 12:00:00+00,0,0,0,0,0,0,108,0,0,0,6,0,0,,,
12,Nova Scotia,Nouvelle-Écosse,2020/03/14 12:00:00+00,0,0,0,0,0,0,109,0,0,0,481,0,299,,,
13,New Brunswick,Nouveau-Brunswick,2020/03/14 12:00:00+00,1,1,0,2,1,100,110,0,0,0,82,0,38,,0,100
24,Quebec,Québec,2020/03/14 12:00:00+00,17,0,0,17,0,0,111,0,0,0,1584,0,844,,0,100
35,Ontario,Ontario,2020/03/14 12:00:00+00,79,0,1,79,0,0,112,0,0,0,6646,0,2461,,1.27,98.73
46,Manitoba,Manitoba,2020/03/14 12:00:00+00,1,3,0,4,1,33.33,113,0,0,0,837,0,485,,0,100
47,Saskatchewan,Saskatchewan,2020/03/14 12:00:00+00,0,2,0,2,1,100,114,0,0,0,349,0,64,,0,100
48,Alberta,Alberta,2020/03/14 12:00:00+00,29,0,0,29,6,26.09,115,0,0,0,5247,0,1138,,0,100
59,British Columbia,Colombie-Britannique,2020/03/14 12:00:00+00,64,0,1,64,11,20.75,116,0,0,0,7033,0,1838,,1.56,98.44
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020/03/14 12:00:00+00,0,0,0,0,0,0,117,0,0,0,62,0,10,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020/03/15 12:00:00+00,1,0,0,1,1,0,118,0,0,0,6,0,0,,0,100
1,Canada,Canada,2020/03/15 12:00:00+00,249,4,2,253,54,27.14,119,0,0,0,24977,0,2568,,0.79,99.21
99,Repatriated travellers,Voyageurs rapatriés,2020/03/15 12:00:00+00,4,0,0,4,2,100,120,0,0,0,29,0,0,,0,100
62,Nunavut,Nunavut,2020/03/15 12:00:00+00,0,0,0,0,0,0,121,0,0,0,6,0,0,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020/03/15 12:00:00+00,0,0,0,0,0,0,122,0,0,0,76,0,0,,,
60,Yukon,Yukon,2020/03/15 12:00:00+00,0,0,0,0,0,0,123,0,0,0,0,0,0,,,
12,Nova Scotia,Nouvelle-Écosse,2020/03/15 12:00:00+00,0,0,0,0,0,0,124,0,0,0,481,0,0,,,
35,Ontario,Ontario,2020/03/15 12:00:00+00,103,0,1,103,24,30.38,125,0,0,0,8461,0,1815,,0.97,99.03
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020/03/15 12:00:00+00,0,1,0,1,1,0,126,0,0,0,62,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/15 12:00:00+00,73,0,1,73,9,14.06,127,0,0,0,7033,0,0,,1.37,98.63
48,Alberta,Alberta,2020/03/15 12:00:00+00,39,0,0,39,10,34.48,128,0,0,0,5247,0,0,,0,100
